feature,importance
ffi10,0.03123044758470551
turnover,0.02399306957684067
total_inst_shares,0.02340542619892756
mom_6m,0.023017867615632938
vol_6m,0.021754764176424548
ffi30,0.019026368609623378
vol_12m,0.018271473244505874
turnover_3m,0.01825191122145845
ix_vol_6m_x_manufacturing_employment,0.01798579318340428
ffi49,0.014608873890360113
ff49_12,0.013372233439815884
ff49_18,0.013172990022330225
de_ratio,0.01268048644816497
sale_nwc,0.012282531042476981
rd_sale,0.011771537655884134
ffi12,0.010442893303956603
gsector,0.009905557553538044
staff_sale,0.009690486490326035
ps,0.009439269036005681
ffi48,0.008750906138856648
ff49_21,0.008174705223272828
ff49_36,0.007982140686794691
num_institutions,0.007941436489952282
accrual,0.007739136974931253
sale_invcap,0.007705836125110277
debt_assets,0.007508956400219557
ff49_40,0.0073730888070286564
invt_act,0.007324568461566269
realized_vol_lag3,0.00729831088548734
debt_capital,0.00719812159991249
ff49_30,0.0071888897495048275
at_turn,0.007109414015375239
turnover_6m,0.00707390622193875
sale_equity,0.006866320919989103
pe_op_basic,0.006831390969496939
pe_inc,0.006627415566351755
ff49_9,0.006430581778189813
ffi5,0.006289081858230272
ff49_8,0.00624496329973355
ix_mom_6m_x_manufacturing_employment,0.006106527128462798
ff49_11,0.006104665399713036
ff49_14,0.005831526670511075
ff49_47,0.005675680676596929
ff49_43,0.005657631438230765
ff49_0,0.0056001969170120175
ff49_2,0.005585316586377984
ff49_29,0.0055224303467210885
ix_sp500_member_x_housing_starts,0.005496805560335377
ffi38,0.005431690336686517
gprof,0.005424374612427667
