year,tier,n_train,n_val,n_test,ic_ensemble,w_lambdarank,w_huber,avg_spread,lr_trees,huber_trees,time_sec
2005,mega,18447,2921,3283,0.028811397458478865,0.3372626724079354,0.6627373275920645,0.0008621198940090835,98,68,4.2
2006,mega,19985,3283,3554,-0.01697661637845686,0.9388200798810246,0.06117992011897547,-0.002389720641076565,25,2,2.3
2007,mega,21543,3554,3760,0.0548770339225832,0.35398454630368337,0.6460154536963167,0.008251705206930637,2,74,2.7
2008,mega,23042,3760,3017,-0.06307951356793491,0.3881765782519147,0.6118234217480853,-0.023749148473143578,10,118,3.2
2009,mega,24377,3017,2441,0.08065285920018322,0.44480648530430766,0.5551935146956923,0.02800443209707737,1,1,2.2
2010,mega,25299,2441,2888,0.043180177430319704,0.48976724669394983,0.5102327533060502,0.008321357890963554,27,105,3.6
2011,mega,24827,2888,3316,-0.03862212594925613,0.8909583277605433,0.10904167223945663,-0.0031888906378299,9,11,2.5
2012,mega,25003,3316,3376,-0.03162743006281999,0.27181359006808997,0.7281864099319101,-0.003918197471648455,1,610,6.7
2013,mega,25936,3376,4008,0.024139624171827485,0.7892177680349125,0.21078223196508744,0.009739656001329422,26,1,2.6
2014,mega,26869,4008,4522,0.06769752628188903,0.39702445722943186,0.6029755427705682,0.0036086614709347486,4,15,2.4
2015,mega,27561,4522,4566,-0.001135007202606261,0.28168134593009114,0.7183186540699089,-0.01139978226274252,141,160,5.1
2016,mega,28578,4566,4424,0.028855855147604467,0.7592783057360548,0.24072169426394507,0.006704522296786308,2,17,2.5
2017,mega,29669,4424,4910,-0.05749125341962157,0.5867289478356533,0.41327105216434673,-0.00447169179096818,32,3,3.0
2018,mega,30296,4910,5327,0.08648025103176919,0.24984169962333605,0.750158300376664,0.014788847416639328,1,10,2.5
2019,mega,31914,5327,5279,0.03292495929875448,0.3582568758599527,0.6417431241400473,0.0044738235883414745,9,74,3.2
2020,mega,34684,5279,5439,0.06436965960224772,0.5103831146606768,0.4896168853393233,0.021347636356949806,6,4,2.9
2021,mega,37062,5439,6906,-0.09772249998027692,0.9497003216825617,0.050299678317438354,-0.04061422124505043,8,2,2.9
2022,mega,38923,6906,6278,-0.0195721886167288,0.5151345676546922,0.4848654323453078,0.009613322094082832,1,1,3.1
2023,mega,41885,6278,6171,0.0006006077024760687,0.9645179379295326,0.035482062070467564,0.01670798845589161,21,6,3.4
2024,mega,44600,6171,6724,0.003995629184900386,0.41566167566765355,0.5843383243323463,-0.00765276188030839,17,161,5.2
